計算,名稱,"位置 X","位置 Y",內容,"文字位置 X","文字位置 Y","中心 X","中心 Y","開始 X","開始 Y","終結 X","終結 Y"
1,多行文字,-268169.467,-204496.8957,164,,,,,,,,
1,多行文字,-267309.467,-204846.8957,187,,,,,,,,
1,多行文字,-267569.467,-204846.8957,186,,,,,,,,
1,多行文字,-267309.467,-204496.8957,166,,,,,,,,
1,多行文字,-267569.467,-204496.8957,165,,,,,,,,
1,圓,,,,,,-268269.7651,-205560.491,,,,
1,圓,,,,,,-268269.7651,-204960.491,,,,
1,圓,,,,,,-268269.7651,-204610.491,,,,
1,HH3,-267789.7651,-205560.491,,,,,,,,,
1,HH3,-268269.7651,-205560.491,,,,,,,,,
1,HH3,-268269.7651,-204960.491,,,,,,,,,
1,HH3,-268269.7651,-204610.491,,,,,,,,,
1,HH3,-267409.7651,-204960.491,,,,,,,,,
1,HH3,-267669.7651,-204960.491,,,,,,,,,
1,HH3,-267409.7651,-204610.491,,,,,,,,,
1,HH3,-267669.7651,-204610.491,,,,,,,,,
